Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Nederland,Pannenkoeken met Appel van het Huis speciale editie,"melk, bloem, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Canard à l’Orange au Vin met champignons,"sinaasappel, eend, boter, honing",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Merluza a la Plancha Casera met kruiden,"heek, citroen, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Insalata Caprese alla Casa met kruiden,"tomaat, basilicum, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Pannenkoeken met Appel Ambachtelijk met verse groenten,"appel, bloem, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Rinderroulade vom Grill met verse basilicum,"augurk, mosterd, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Coq au Vin Traditionnel met olijven,"champignons, rode wijn, ui, spekjes",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Zalm met Dillesaus Ouderwets met verse groenten,"citroen, dille, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Coq au Vin Traditionnel met kruiden,"rode wijn, ui, spekjes",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Sauerbraten nach Oma’s Rezept van de chef,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha Andaluz van de chef,"heek, peterselie, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Insalata Caprese al Forno met roomsaus,"olijfolie, basilicum, tomaat, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Cassoulet de Lyon met roomsaus,"bonen, vlees, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Risotto ai Funghi alla Casa met verse basilicum,"room, kaas, boter, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Apfelstrudel Hausgemacht met verse basilicum,"kaneel, deeg, appel",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Zalm met Dillesaus met Kaas met truffel,"citroen, dille, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Zalm met Dillesaus met Kaas speciale editie,"citroen, dille, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Merluza a la Plancha del Norte uit de oven,"peterselie, citroen, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Sauerbraten Bayerisch van de chef,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Paella Valenciana Andaluz met saus,"saffraan, rijst, kip, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Risotto ai Funghi Rustico speciale editie,"rijst, paddenstoelen, kaas, boter, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Tiramisu Classico met roomsaus,"mascarpone, eieren, koffie, suiker",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Rinderroulade Bayerisch met champignons,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Quiche Lorraine Provençale met citroen,"room, spek, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Boeuf Bourguignon Régionale speciale editie,"rundvlees, rode wijn, ui, tijm, wortel",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Chorizo al Vino Tradicional met verse basilicum,"knoflook, chorizo, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Risotto ai Funghi alla Toscana met kruiden,"room, kaas, rijst, paddenstoelen, boter",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Kartoffelsalat Bayerisch uit de oven,"azijn, ui, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Merluza a la Plancha Catalana met verse basilicum,"peterselie, heek, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Haring met Ui Hollands met roomsaus,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Coq au Vin au Vin met verse groenten,"spekjes, ui, rode wijn, kip",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Insalata Caprese del Mare met verse groenten,"basilicum, tomaat, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Zalm met Dillesaus met Spekjes met olijven,"citroen, zalm, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Pannenkoeken met Appel met Kaas met truffel,"melk, bloem, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Sauerbraten nach Oma’s Rezept met verse basilicum,"ui, rundvlees, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Patatas Bravas del Norte met truffel,"tomaat, paprika, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Bratwurst mit Sauerkraut Rheinisch van de chef,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Pannenkoeken met Appel Ouderwets met roomsaus,"melk, bloem, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Bratwurst mit Sauerkraut Bayerisch uit de oven,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Empanadas del Norte speciale editie,"paprika, gehakt, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Tiramisu alla Toscana speciale editie,"mascarpone, cacao, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Albondigas en Salsa Andaluz met verse basilicum,"gehaktballetjes, tomatensaus, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Spaghetti alle Vongole Classico van de chef,"venusschelpen, olijfolie, knoflook, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Apfelstrudel Klassisch met kruiden,"deeg, kaneel, appel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel vom Grill met truffel,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Lasagne alla Bolognese del Mare met kruiden,"ui, tomaat, knoflook, kaas, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Coq au Vin de Lyon met kruiden,"spekjes, kip, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Sauerbraten Klassisch met kruiden,"ui, rundvlees, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel Hausgemacht met olijven,"deeg, appel, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Tortilla Española Andaluz met verse groenten,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Forelle Müllerin vom Grill met saus,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Empanadas Casera met champignons,"paprika, gehakt, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Tiramisu al Forno van de chef,"koffie, suiker, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Kartoffelsalat nach Oma’s Rezept speciale editie,"azijn, ui, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Patatas Bravas del Mar met saus,"aardappel, paprika, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Lasagne alla Bolognese alla Toscana van de chef,"kaas, ui, knoflook",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Chorizo al Vino del Mar met saus,"knoflook, rode wijn, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Kipspies met Paprika met Spekjes met kruiden,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Tiramisu al Forno met verse basilicum,"koffie, mascarpone, cacao, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Boeuf Bourguignon de Lyon speciale editie,"rundvlees, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Patatas Bravas Andaluz met saus,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Merluza a la Plancha del Norte met olijven,"heek, peterselie, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Magret de Canard Traditionnel met verse basilicum,"eend, rode wijnsaus, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Canard à l’Orange Régionale van de chef,"boter, eend, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Chorizo al Vino Casera speciale editie,"knoflook, chorizo, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Quiche Lorraine Provençale met truffel,"room, kaas, eieren, spek",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Haring met Ui Ambachtelijk met truffel,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept met verse basilicum,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Cassoulet de Lyon met kruiden,"vlees, worst, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Sauerbraten Klassisch met roomsaus,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Bistecca alla Fiorentina al Forno speciale editie,"rundvlees, citroen, peper, rozemarijn",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Filet de Sole Provençale uit de oven,"citroen, peterselie, vis",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Pannenkoeken met Appel met Kaas met olijven,"appel, melk, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Tiramisu Tradizionale met roomsaus,"mascarpone, suiker, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Apfelstrudel vom Grill uit de oven,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Pulpo a la Gallega Catalana met citroen,"paprika, aardappel, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Kibbeling met Spekjes met citroen,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Bayerisch met verse groenten,"azijn, ui, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kibbeling met Kaas met roomsaus,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Spaghetti alle Vongole al Forno met kruiden,"venusschelpen, knoflook, olijfolie, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Patatas Bravas Catalana uit de oven,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Kartoffelsalat Rheinisch speciale editie,"ui, azijn, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Albondigas en Salsa de la Casa van de chef,"ui, gehaktballetjes, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Albondigas en Salsa Tradicional met saus,"ui, gehaktballetjes, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Zalm met Dillesaus Hollands met roomsaus,"zalm, citroen, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Fritto Misto del Mare met truffel,"citroen, inktvis, bloem, garnalen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Bruschetta al Pomodoro Tradizionale met truffel,"stokbrood, olijfolie, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Asperges met Ham met Spekjes met kruiden,"boter, ham, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Poulet à la Crème Provençale met verse groenten,"champignons, kip, room",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Gazpacho Andaluz Catalana met citroen,"tomaat, olijfolie, komkommer, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Boeuf Bourguignon au Vin met olijven,"tijm, ui, rundvlees, wortel",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Fritto Misto del Mare speciale editie,"inktvis, citroen, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Fritto Misto al Forno met kruiden,"inktvis, garnalen, citroen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Insalata Caprese alla Casa met citroen,"olijfolie, basilicum, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kipspies met Paprika Ouderwets van de chef,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Risotto ai Funghi alla Casa met saus,"boter, paddenstoelen, kaas, rijst, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Filet de Sole à la Crème met verse groenten,"peterselie, boter, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Bratwurst mit Sauerkraut Hausgemacht uit de oven,"aardappel, zuurkool, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Kibbeling van het Huis met olijven,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut vom Grill uit de oven,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Insalata Caprese Classico met verse groenten,"basilicum, tomaat, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kibbeling van het Huis met truffel,"beslag, witvis, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Canard à l’Orange au Vin met kruiden,"sinaasappel, honing, eend, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Pasta all’Amatriciana Tradizionale met verse basilicum,"tomaat, guanciale, peper, pecorino, ui",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Haring met Ui Hollands speciale editie,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Provençale met saus,"aardappelgratin, eend, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Paella Valenciana de la Casa met verse groenten,"garnalen, rijst, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Entrecôte au Poivre de Lyon met champignons,"rundvlees, room, peper",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Quiche Lorraine à la Crème met roomsaus,"spek, room, eieren, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Sauerbraten Rheinisch uit de oven,"ui, azijn, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Bruschetta al Pomodoro Classico speciale editie,"tomaat, olijfolie, stokbrood, basilicum",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Lasagne alla Bolognese alla Toscana met saus,"ui, gehakt, knoflook, tomaat, kaas",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Quiche Lorraine Traditionnel van de chef,"room, kaas, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Magret de Canard Maison met verse groenten,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Canard à l’Orange de Lyon met verse groenten,"honing, boter, sinaasappel, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Coq au Vin Provençale met champignons,"kip, rode wijn, spekjes, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Patatas Bravas Tradicional uit de oven,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Risotto ai Funghi alla Toscana met citroen,"room, kaas, boter",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Spaghetti alle Vongole al Forno met verse groenten,"witte wijn, olijfolie, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Forelle Müllerin vom Grill met truffel,"citroen, boter, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Boeuf Bourguignon Traditionnel met saus,"rundvlees, tijm, wortel, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Asperges met Ham Ouderwets met verse groenten,"asperges, ham, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Insalata Caprese Rustico met verse groenten,"mozzarella, olijfolie, tomaat, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Rinderroulade vom Grill uit de oven,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Rinderroulade vom Grill met citroen,"augurk, mosterd, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Pasta all’Amatriciana Classico met olijven,"guanciale, tomaat, pecorino, peper, ui",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Bratwurst mit Sauerkraut Rheinisch met roomsaus,"aardappel, zuurkool, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Bratwurst mit Sauerkraut vom Grill met kruiden,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Lasagne alla Bolognese del Mare speciale editie,"kaas, ui, gehakt, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Bistecca alla Fiorentina alla Casa met truffel,"olijfolie, rundvlees, rozemarijn, peper",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Bruschetta al Pomodoro Classico met verse basilicum,"olijfolie, stokbrood, tomaat, basilicum",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Tortilla Española del Norte met kruiden,"ei, ui, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Albondigas en Salsa de la Casa met olijven,"tomatensaus, gehaktballetjes, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Forelle Müllerin Bayerisch met truffel,"forel, citroen, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Haring met Ui van het Huis speciale editie,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Cassoulet de Lyon uit de oven,"bonen, worst, vlees, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Insalata Caprese alla Toscana met citroen,"basilicum, tomaat, mozzarella, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Rinderroulade Rheinisch speciale editie,"rundvlees, augurk, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Kibbeling met Kaas van de chef,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Coq au Vin de Lyon met olijven,"rode wijn, ui, champignons, spekjes",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Risotto ai Funghi alla Casa met citroen,"boter, kaas, paddenstoelen, rijst, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Coq au Vin de Lyon speciale editie,"champignons, spekjes, ui, kip",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Kipspies met Paprika van het Huis met verse basilicum,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Pannenkoeken met Appel Hollands met champignons,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Paella Valenciana del Mar met saus,"rijst, kip, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Paella Valenciana Andaluz met truffel,"kip, garnalen, rijst, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Pulpo a la Gallega de la Casa uit de oven,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Forelle Müllerin nach Oma’s Rezept speciale editie,"forel, boter, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Empanadas Catalana met olijven,"ui, gehakt, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Haring met Ui met Kaas met citroen,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel vom Grill met olijven,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Insalata Caprese Tradizionale met verse basilicum,"basilicum, mozzarella, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Quiche Lorraine Maison met champignons,"spek, kaas, room",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Coq au Vin à la Crème met citroen,"spekjes, champignons, kip",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Bratwurst mit Sauerkraut Hausgemacht met verse basilicum,"aardappel, worst, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Empanadas Casera met verse groenten,"paprika, gehakt, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Forelle Müllerin Klassisch met truffel,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel Rheinisch met verse basilicum,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Albondigas en Salsa Casera met truffel,"ui, gehaktballetjes, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Asperges met Ham met Spekjes met verse groenten,"asperges, ham, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Patatas Bravas Casera met roomsaus,"paprika, tomaat, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Spaghetti alle Vongole Tradizionale met champignons,"olijfolie, venusschelpen, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Poulet à la Crème au Vin met saus,"boter, room, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Pasta all’Amatriciana alla Casa met roomsaus,"pecorino, tomaat, guanciale, peper, ui",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Haring met Ui Hollands van de chef,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
